topic,tokencount,words,topicname
0,16136,"year health reform work rights economic oil proposed programs rural",Health programs for Rural Communities
1,22698,"economic people peace great world power made present security nations",Peace brings economic prsperity
2,17492,"congress people world nation government years union peace hope today",World governance brings Peace
3,13038,"year war dollars fiscal million expenditures total united government public",Expense of War
4,23548,"year opportunity education american state make home long public america", Education provides opportunity
5,35591,"congress administration legislation energy development policy program continue international provide",Develop Domestic Energy Sources
6,27974,"federal programs government budget increase billion program tax local american",Federal Social Programs Cost
7,17551,"america people work children american americans make care tonight time", Care for America's Children
8,10929,"free world nations defense freedom military united strength europe progress",The need to Strngthen Europe for World Security
9,19244,"years support security national working states social economy country strengthen",Working Together for Improvements to Life
